data;
param Title := ArabidopsisThaliana;
param start := "51_0_R";
set V :=
32_0_F
10_0_R
28_0_F
15_0_F
52_0_R
12_1_R
14_0_R
59_1_F
59_1_R
11_0_R
14_1_R
18_1_F
28_0_R
33_0_F
19_1_F
18_1_R
44_0_F
40_1_R
59_0_R
42_0_F
40_0_R
18_0_F
32_0_R
29_0_F
44_0_R
6_0_F
12_1_F
59_0_F
19_1_R
6_0_R
18_0_R
38_0_F
30_1_R
20_0_R
20_1_F
14_0_F
30_0_R
38_1_F
15_0_R
30_0_F
48_0_F
42_0_R
11_0_F
51_0_R
20_0_F
33_0_R
54_0_F
8_0_R
51_0_F
29_0_R
12_0_F
10_0_F
8_0_F
30_1_F
20_1_R
52_0_F
12_0_R
40_0_F
15_1_R
48_0_R
19_0_F
14_1_F
38_0_R
38_1_R
54_0_R
15_1_F
19_0_R
40_1_F
;
param w :=
32_0_F	568
10_0_R	216
28_0_F	3844
15_0_F	2174
52_0_R	10271
12_1_R	210
14_0_R	2154
59_1_F	1012
59_1_R	1012
11_0_R	216
14_1_R	2154
18_1_F	606
28_0_R	3844
33_0_F	17881
19_1_F	3187
18_1_R	606
44_0_F	4275
40_1_R	3013
59_0_R	1012
42_0_F	8049
40_0_R	3013
18_0_F	606
32_0_R	568
29_0_F	20736
44_0_R	4275
6_0_F	17366
12_1_F	210
59_0_F	1012
19_1_R	3187
6_0_R	17366
18_0_R	606
38_0_F	277
30_1_R	910
20_0_R	3045
20_1_F	3045
14_0_F	2154
30_0_R	910
38_1_F	277
15_0_R	2174
30_0_F	910
48_0_F	676
42_0_R	8049
11_0_F	216
51_0_R	29515
20_0_F	3045
33_0_R	17881
54_0_F	14402
8_0_R	3575
51_0_F	29515
29_0_R	20736
12_0_F	210
10_0_F	216
8_0_F	3575
30_1_F	910
20_1_R	3045
52_0_F	10271
12_0_R	210
40_0_F	3013
15_1_R	2174
48_0_R	676
19_0_F	3187
14_1_F	2154
38_0_R	277
38_1_R	277
54_0_R	14402
15_1_F	2174
19_0_R	3187
40_1_F	3013
;
set reverse :=
32_0_F	32_0_R
10_0_R	10_0_F
28_0_F	28_0_R
15_0_F	15_0_R
52_0_R	52_0_F
12_1_R	12_1_F
14_0_R	14_0_F
59_1_F	59_1_R
59_1_R	59_1_F
11_0_R	11_0_F
14_1_R	14_1_F
18_1_F	18_1_R
28_0_R	28_0_F
33_0_F	33_0_R
19_1_F	19_1_R
18_1_R	18_1_F
44_0_F	44_0_R
40_1_R	40_1_F
59_0_R	59_0_F
42_0_F	42_0_R
40_0_R	40_0_F
18_0_F	18_0_R
32_0_R	32_0_F
29_0_F	29_0_R
44_0_R	44_0_F
6_0_F	6_0_R
12_1_F	12_1_R
59_0_F	59_0_R
19_1_R	19_1_F
6_0_R	6_0_F
18_0_R	18_0_F
38_0_F	38_0_R
30_1_R	30_1_F
20_0_R	20_0_F
20_1_F	20_1_R
14_0_F	14_0_R
30_0_R	30_0_F
38_1_F	38_1_R
15_0_R	15_0_F
30_0_F	30_0_R
48_0_F	48_0_R
42_0_R	42_0_F
11_0_F	11_0_R
51_0_R	51_0_F
20_0_F	20_0_R
33_0_R	33_0_F
54_0_F	54_0_R
8_0_R	8_0_F
51_0_F	51_0_R
29_0_R	29_0_F
12_0_F	12_0_R
10_0_F	10_0_R
8_0_F	8_0_R
30_1_F	30_1_R
20_1_R	20_1_F
52_0_F	52_0_R
12_0_R	12_0_F
40_0_F	40_0_R
15_1_R	15_1_F
48_0_R	48_0_F
19_0_F	19_0_R
14_1_F	14_1_R
38_0_R	38_0_F
38_1_R	38_1_F
54_0_R	54_0_F
15_1_F	15_1_R
19_0_R	19_0_F
40_1_F	40_1_R
;
set Edges :=
32_0_F	33_0_R	overlaps
32_0_F	33_0_R	links
10_0_R	15_0_R	overlaps
10_0_R	15_1_R	overlaps
28_0_F	48_0_F	overlaps
28_0_F	8_0_F	links
28_0_F	6_0_F	links
15_0_F	11_0_F	overlaps
15_0_F	20_1_F	links
15_0_F	19_1_R	links
15_0_F	20_0_F	links
15_0_F	19_0_R	links
15_0_F	10_0_F	overlaps
52_0_R	44_0_R	overlaps
52_0_R	44_0_R	links
52_0_R	42_0_F	links
12_1_R	20_0_F	overlaps
12_1_R	20_1_F	overlaps
14_0_R	29_0_F	links
14_0_R	18_0_R	overlaps
14_0_R	28_0_F	links
14_0_R	18_1_R	overlaps
59_1_F	20_0_R	links
