data;
param Title := GracilariaTenuistipitata;
param start := 12_0_F;
set V :=
13_0_F
2_0_R
0_0_F
19_0_F
20_0_R
26_0_R
6_0_F
8_0_R
28_0_F
12_0_F
10_0_R
;
set O :=
13_0_F	2_0_R
2_0_R	0_0_F
0_0_F	19_0_F
19_0_F	20_0_R
20_0_R	26_0_R
26_0_R	6_0_F
6_0_F	8_0_R
8_0_R	28_0_F
28_0_F	12_0_F
12_0_F	10_0_R
10_0_R	13_0_F
;
set L :=
28_0_F	12_0_F
13_0_F	2_0_R
8_0_R	28_0_F
0_0_F	19_0_F
2_0_R	0_0_F
19_0_F	20_0_R
20_0_R	26_0_R
10_0_R	13_0_F
26_0_R	6_0_F
12_0_F	13_0_F
12_0_F	10_0_R
6_0_F	8_0_R
;
param l :=
13_0_F	2_0_R	-120.0
2_0_R	0_0_F	-120.0
0_0_F	19_0_F	-120.0
19_0_F	20_0_R	-120.0
20_0_R	26_0_R	-120.0
26_0_R	6_0_F	-120.0
6_0_F	8_0_R	-120.0
8_0_R	28_0_F	-120.0
28_0_F	12_0_F	-120.0
12_0_F	10_0_R	-120.0
10_0_R	13_0_F	-120.0
;
param w :=
13_0_F	9240.0
2_0_R	8437.0
0_0_F	13193.0
19_0_F	16087.0
20_0_R	28051.0
26_0_R	9552.0
6_0_F	5029.0
8_0_R	38581.0
28_0_F	11555.0
12_0_F	43449.0
10_0_R	2029.0
;
param b_inf :=
28_0_F	12_0_F	0.0
13_0_F	2_0_R	0.0
8_0_R	28_0_F	0.0
0_0_F	19_0_F	0.0
2_0_R	0_0_F	0.0
19_0_F	20_0_R	0.0
20_0_R	26_0_R	0.0
10_0_R	13_0_F	0.0
26_0_R	6_0_F	0.0
12_0_F	13_0_F	1668.0
12_0_F	10_0_R	0.0
6_0_F	8_0_R	0.0
;
param b_sup :=
28_0_F	12_0_F	47.0
13_0_F	2_0_R	41.0
8_0_R	28_0_F	0.0
0_0_F	19_0_F	19.0
2_0_R	0_0_F	43.0
19_0_F	20_0_R	44.0
20_0_R	26_0_R	81.0
10_0_R	13_0_F	5.0
26_0_R	6_0_F	118.0
12_0_F	13_0_F	1930.0
12_0_F	10_0_R	0.0
6_0_F	8_0_R	41.0
;
